"아굴절, 亞掘折, sub-refraction",,굴절 기울기가 표준 굴절 기울기보다 큰 굴절. 부분 굴절이라고도 한다. 이로 인해 전파 통로의 곡률 반지름은 표준 굴절의 경우보다 커지게 된다. →굴절률.
"아스키, American standard code for information interchange, ASCII",동의어 : 미국 정보 교환 표준 부호,"정보 교환용 미국 표준 부호. 아스키는 문자, 숫자, 구두점 및 기타 일부 특수 문자에 수치(numeric value)를 부여하는 부호 체계로서, 1962년 미국 표준 협회(ANSI)가 제정하였다. 1967년 국제 표준화 기구(ISO)가 ISO 646으로 제정한 7비트 정보 교환용 부호도 이를 준거한 것이다. 각 문자에 사용되는 수치를 표준화함으로써 아스키는 컴퓨터 및 프로그램의 정보를 교환할 수 있게 한다. 아스키는 모두 256개의 부호를 각각 128개로 이루어진 2개의 집합, 즉 표준 집합과 확장 집합으로 구분하여 제공한다. 표준 아스키 부호 집합에서는 각 부호에 7비트를 사용하여 0부터 127(16진수 00H부터 7FH)까지 128개 문자 부호를 제공한다. 확장 아스키 부호 집합에서는 각 부호에 8비트를 사용하여 128부터 255(16진수 80H부터 FFH)까지 128개 문자 부호를 추가로 제공한다. 표준 아스키 부호 집합 128개 중에서 0부터 32개의 부호는 후진(backspace), 나르개 되돌림(carriage return), 탭(tab)과 같은 비인쇄 문자, 즉 컴퓨터와 컴퓨터 간의 정보 전송 또는 컴퓨터와 프린터 간의 정보 전송을 제어하는 데 사용되는 제어 문자에 할당되어 있다. 나머지 96개 부호는 로마자의 대문자와 소문자, 0부터 9까지의 숫자 및 널리 사용되는 구두점 등 특수 기호에 할당되어 있다. 그리고 128부터 255까지의 확장 아스키 부호 집합은 컴퓨터 생산자와 소프트웨어 개발자가 여러 가지 다양한 문자에 할당할 수 있도록 하고 있다. 이렇게 할당된 확장 부호는 표준 아스키 부호와 같이 서로 다른 프로그램이나 컴퓨터 사이에 교환되지 못한다. 예를 들면, IBM은 보통 IBM 확장 문자 집합(IBM Extended Character Set)이라고 불리는 1종의 확장 아스키 문자 집합을 자사의 PC용으로 사용하고, 애플 컴퓨터 회사는 이와 비슷하면서 다른 확장 아스키 문자 집합을 매킨토시용으로 사용하고 있다. 그러므로 표준 아스키 문자 집합은 마이크로컴퓨터 하드웨어 및 소프트웨어 사이에서 세계적으로 통용되는 데 비해, 확장 아스키 문자 집합은 프로그램이나 컴퓨터 또는 프린터가 그것을 해독할 수 있도록 설계되어 있어야만 올바로 해독될 수 있다."
"아스키 Z 문자열, -文字列, ASCII Z string",,"프로그램에서 사용되는 아스키 문자열 중에서 널(null) 문자로 종료하는 문자열. 널로 종료하는 문자열(null-terminated string)이라고도 한다. 널 문자는 아스키값이 0인 문자를 포함하는 바이트, 즉 제로 바이트이다."
"아스키 문자 집합, -文字集合, ASCII character set",,"로마자의 대문자와 소문자, 0~9의 숫자, 구두점, 제어 명령 등을 2진값으로 표현하는 표준 7비트 부호, 즉 표준 아스키 부호 집합. 부호값 0~127까지의 128개 문자를 제공한다. 아스키 문자 집합에는 프랑스어, 독일어, 스페인어 등 일부 유럽 언어에서 사용되는 악센트 기호와 특수 문자가 포함되어 있지 않고, 한국어 등 많은 언어에서 사용되는 비(非) 로마자 문자를 표현하는 것이 불가능하지만 아스키는 가장 보편적인 문자 부호 체계이기 때문에 국제적으로 중요하다. 많은 비영어 문자 집합은 아스키 부호 체계를 확장한 것 또는 변형한 것이다. 대부분의 개인용 컴퓨터는 8비트로 특수 문자, 유럽 문자와 비 로마자 문자 및 구두점, 도형 기호 등을 표현하는 128개 문자 부호를 제공하는 확장 또는 변형 아스키 부호 집합을 사용하고 있다."
"아스키 부호, -符號, ASCII code",,"아스키(ASCII)에 정의되어 있는 256개 문자에 대한 부호. 숫자 영문자, 특수 기호 등에 0~127의 부호를 부여한 128개의 표준 코드와 128~255의 부호가 매겨진 128개의 확장 코드로 구성된다."
"아스키 정렬 순서, -整列順序, ASCII sort order",,아스키 문자 집합에 포함되어 있는 문자들을 2진수로 표현했을 때 각각의 문자 순서.
"아스키 제어 문자, -制御文字, ASCII control character",,"표준 아스키 부호, 즉 7비트 부호로 표현되는 128개의 아스키 문자 집합 중에서 통신 및 프린터 제어 문자로 사용되는 0부터 31까지의 32개 문자. 후진(backspace), 줄바꿈(carriage return), 탭(tab) 등 인쇄되지 않는 문자로서 컴퓨터와 컴퓨터 또는 프린터 사이의 정보 전송 방법을 제어하는 데 사용된다."
"아스키 키보드, ASCII keyboard",동의어 : 아스키 글쇠판,"아스키 문자판. 컴퓨터에서 일반적으로 사용되는 키보드로 표준 아스키 문자 집합에 포함되어 있는 128개의 문자, 특수 기호 등 96개의 문자와 32개의 제어 문자로 입력할 수 있는 것을 가리킨다."
"아스키 파일, ASCII file",,"텍스트로만(text-only) 되어 있는 파일, 또는 아스키코드의 문자로만 되어 있는 문서 파일. 영문자와 숫자, 공간(space), 구두점, 나르개 되돌림(carriage return), 탭(tab), 파일 끝 마커(end-of-file marker)를 포함하는 경우도 있으나 포매팅 정보(formatting information)는 포함하지 않는다. 아스키 파일은 다른 방법으로는 서로의 문서를 판독할 수 없는 프로그램들 사이에서, 꾸며져 있지 않은(unadorned) 판독 가능한 모양으로 파일을 전송하는 데 편리하다."
"아스키 호환 부호화, -互換符號化, ASCII Compatible Encoding, ACE",,"다국적 문자를 아스키(ASCII) 문자로 변환하는 부호화 방식. 출력으로 7비트 옥텟만을 사용하며, 범용 변환 포맷(UTF-8)과 RACE(Row-based ACE) 등이 이에 속한다. 영어 알파벳, 숫자, 하이픈(-)만을 사용하는 도메인 네임 시스템(DNS)에서는 다국적 문자를 처리 할 수 없으므로 유니코드로 된 도메인 이름을 영어 DNS 서버들이 이해할 수 있도록 아스키로 변환하는 부호화 과정이 필요하다."
"아시아ㆍ태평양 전기 통신 공동체, -太平洋電氣通信共同體, Asia-Pacific Telecommunity, APT",,"아시아/태평양 지역의 전기 통신 개발의 촉진과 지역 전기 통신망의 정비/확충에 대한 국제 협력을 주 목적으로 하는 정부 간 국제 기구. 태국의 방콕에 본부를 두고 있다. 1976년 ESCAP 총회에서 채택된 헌장에 따라 1979년 발족하였다. 국제 전기 통신 협약에서 정하는 지역 전기 통신 기관이며, 한국을 포함한 이 지역 대부분의 국가가 참여하고 있다. 가맹국과 가맹국의 주요 전기 통신 사업체를 망라하는 찬조 가맹원으로 구성되어 있다."
"아시아ㆍ태평양 전기 통신 표준화 기구, -太平洋電氣通信標準化機構, Asia-Pacific Telecommunity Standardization Program, ASTAP",,"아시아/태평양 지역 전기통신 분야의 표준화 활동을 전담하기 위해 아태지역 정부간 협정에 의해 설립된 국제 표준화 조직. 아시아/태평양 지역 전기통신 분야의 표준화 활동을 강화하고, 국제표준 제정에 지역적으로서 공헌하며, 표준화를 통하여 국제적인 상호 접속성, 상호 운용성 확보하는 것이 활동의 목적이다. ASTAP 총회는 1998년부터 ASTAP 포럼이란 명칭으로 개칭되었다."
"아시아ㆍ태평양지역침해사고대응팀협의체, -太平洋地域侵害事故對應-協議體, Asia-Pacific Computer Emergency Response Team, APCERT",,인터넷 정보 보호 강화를 위해 아시아/태평양 지역 내 설치된 각국의 침해 사고 대응팀 간 국제 협력체. 2003년 출범하여 현재 16개국 23개 침해 사고 대응팀(CERT)이 참여하고 있다. 우리나라의 경우 한국인터넷진흥원(KISA)이 운영위원회 위원으로 활동하고 있다.
"아시아눅스, Asianux",,"아시아 시장을 목표로 한국, 중국, 일본, 베트남의 대표 리눅스 기업들이 함께 공동 개발하는 리눅스 운영 체제(OS). 아시아눅스(Asianux)는 아시아의 관습이나 문화 환경에 적합하게 개발된 리눅스로 공개 소스(open source)로 배포된다. 한국의 한글과컴퓨터(한컴), 중국의 홍기소프트웨어(Red Flag Software), 일본의 미라클리눅스, 베트남의 비엣소프트웨어(Vietsoftware) 회사 등이 참여한다. 2004년 중국과 일본이 공동 개발한 아시아눅스 1.0이 처음 배포되고, 한국은 2005년 발표된 아시아눅스 2.0부터 참여하였다."
"아시아 대양주 정보 산업 기구, -大洋洲情報産業機構, Asia-Oceania Computing Industry Organization, ASOCIO",,"아시아/태평양 지역의 정보화 촉진과 정보 산업의 공동 발전을 위해 1984년에 설립된, 이 지역 정보 산업 단체와 기업체의 연합체. 한국을 비롯해서 일본, 오스트레일리아, 인도, 싱가포르 등 18개국의 대표적 정보 산업 단체와 5,300여 개의 컴퓨터 서비스, 소프트웨어 기업 등이 회원으로 가입되어 있다. 주요 활동은 가맹국 상호 간의 정보 교환, 업무 협력, 국제 회의 및 심포지엄의 개최 등이다. 연 1회 ASOCIO 총회 및 정보 산업 관련 심포지엄을 개최한다. 한국 정보 산업 연합회가 한국 측 대표로 가맹하고 있다."
"아시아·오세아니아 워크숍, Asian-Oceanian Workshop, AOW",,"정보 통신 관련 국제 기능 표준을 만드는 지역 표준화 기구(AOW, OIW, EWOS) 중 하나. 한국, 일본, 오스트레일리아, 대만, 중국 등이 이사로 활동하고 있다. 개방형 시스템 간 상호 접속(OSI) 관련 기능 표준의 주제별로 10개 내외의 SIG(Special Interest Group)를 구성하여 기능 표준(안)을 작성하며, 작성된 초안은 ISO 국제 기능 표준(ISP:International Standard Profile) 제정 절차에 따라 JTC1 (Joint Technical Committee 1)/SGFS(Special Group on Functional Standardization)에 제출된다."
"아시아 이동 통신 위성 시스템, 亞細亞移動通信衛星-, Asia Cellular Satellite System, ACeS",,"에릭슨사(Ericsson)가 개발한 이동 통신과 위성 통신이 통합된 통신망으로 아시아 태평양 지역의 이동 디지털 통신 서비스를 제공하는 시스템. 적도상의 GSM 통신망에 위성 통신을 더한 태평양 지역 통신망으로 통합 위성 GSM으로서는 세계에서 처음이다. 지역적으로 남쪽은 인도네시아, 동쪽은 뉴기니아, 북쪽은 일본, 서쪽은 파키스탄까지 가능하고 GSM 가입자는 가입자 식별 모듈(SIM)과 ACeS 단말기만 있으면 위성을 통해 GSM 서비스를 받을 수 있다."
"아시아 태평양 게이트웨이, 亞細亞太平洋-, Asia Pacific Gateway, APG",동의어 : 아시아 태평양 광케이블 관문,"한국, 일본, 중국, 홍콩, 대만, 베트남, 말레이시아, 싱가포르 등 아시아 태평양 지역을 연결하는 해저 광케이블. 아시아 태평양 게이트웨이(APG) 해저 광케이블은 총길이 1만4백 킬로미터(km)이며, 전송 용량이 초당 38.4 테라비트(Tbps)이다. 2009년 APG 컨소시엄이 발족되었으며, 8개국의 12개 통신사업자들(차이나 모바일, 페이스북, NTT 등)이 참여한다. 우리나라는 KT가 참여하고 APG 총괄 운영을 한다."
"아시아·태평양 네트워크 정보 센터, -太平洋-情報-, Asia Pacific Network Information Center, APNIC",,"아시아·태평양 지역의 인터넷 주소 자원과 정보 관리를 수행하는 비영리 기구. 인터넷의 인터넷 할당 번호 관리 기관(IANA) 산하 기구로, 북미 지역의 ARIN, 유럽의 RIPENCC 등과 같이 대륙별 인터넷 주소 관리 기관(RIR: Regional Internet Registry) 중 하나이다. 아시아·태평양 지역의 국가별 네트워크 정보 센터(NIC), 인터넷 서비스 제공자(ISP)들을 대상으로 IP 주소 할당, 자율 시스템 번호(Autonomous System Number, 망식별번호) 할당, 정보 서비스 등을 수행한다. APNIC의 기능은 크게 등록, 주소, 정보 서비스 등 3가지 형태로 나눌 수 있는데, 이 가운데 등록 서비스는 일본 게이오 대학에서 수행하고 있으며 주소 서비스, 정보 서비스 등은 한국, 오스트레일리아, 대만이 기능을 분담해서 서비스를 제공하고 있다."
"아시아 태평양 방송 연합, -太平洋放送聯合, Asia-Pacific Broadcasting Union, ABU",,"1964년 설립된 아시아 및 태평양 지역의 방송 기관을 중심으로 한 국제 조직. 설립 목적은 회원의 이익보호, 방송에 관한 연구촉진과 조정, 정보의 교환, 국가의 발전과 교육분야에 있어서의 방송 이용의 촉진 등에 두고 있다. 본부는 말레이시아의 콸라룸푸르(Kuala Lumpur)에 있으며, 우리나라에서는 KBS, MBC, SBS 등이 참여하고 있다. ※누리집: http://www.abu.org.my"
"아시아·태평양 위성 통신 협의회, -太平洋衛星通信協議會, Asia Pacific Satellite Communications Council, APSCC",,"아시아/태평양 지역을 대표하는 국제 위성 기구의 하나. 아시아/태평양 지역의 위성 통신 관련 국제 기구 필요성에 따라 1994년 국제 전기 통신 연합(ITU)의 발의로 우리나라, 일본 등 26개국 31개 회원으로 공식 출범한 아시아/태평양 위성 통신 협의회를 말한다. 지역 내 회원국을 대상으로 세미나 등 국제적인 활동을 하고 있으며 ITU에서도 빼놓을 수 없는 국제 기구의 하나로 정착되었다. 본부는 서울에 있으며, 위성 통신 관련 분야 학술 회의 등을 통해서 낙후된 기술을 앞당기고 위성 통신 산업을 활성화하는 데 큰 역할을 담당하고 있다."
"아시아·태평양 정보 통신 기반 협력 센터, -太平洋情報通信基盤協力-, Asia-Pacific Information Infrastructure Cooperation Center, APII Cooperation Center, APIICC",,"1996년 9월 오스트레일리아 골드코스트에서 개최된 아시아·태평양 경제 협력체(APEC: Asia-Pacific Economic Cooperation) 정보 통신 관계 장관 회의의 결정에 따라 서울에 설치된, APII 사무국 성격을 띤 상설 기구. APII 협력 센터라고도 한다. 아시아·태평양 지역 정보 통신 기반을 조기에 효율적으로 구축하기 위한 조정 및 협력 기능을 수행한다."
"아시아/태평양 초고속 연구망, -太平洋超高速硏究網, Asia-Pacific Advanced Network, APAN",,"아시아/태평양 지역의 연구원들이 추진하는 고속 연구 시험망. 현재 한국을 비롯한 일본, 중국, 대만, 태국, 싱가포르, 오스트레일리아, 말레이시아의 연구원들이 연합하여 연구하고 있다. 아시아/태평양 초고속 연구망(APAN)은 아시아/태평양 지역의 연구 분야에 고성능의 네트워크 환경 제공, 첨단 응용과 네트워크 서비스의 연구 개발 및 국제 협력 추진을 목적으로, 국제 계층 네트워크의 구축과 첨단 네트워킹 기술 개발 및 응용 분야 협력 등을 하고 있다."
"아시아 태평양 케이블 통신망, -太平洋-通信網, Asia-Pacific Cable Network, APCN",,"한국 및 일본을 비롯한 동아시아 지역과 동남아시아 5개국을 연결하기 위한 해저 광케이블. 1993년 6월 30일 건설 양해 각서 체결, 1994년 6월 30일 건설 및 유지 보수 협정을 체결하고 공사에 착수하여 1996년 12월 31일에 준공, 개통하였다. 참여 국가는 9개국이며, 총길이는 12,083km이다. 회선 용량은 60.480회선(5Gbps)이며 총 건설 비용은 약 6억 5,000만 달러가 투입되었다. 우리나라는 8,370회선을 확보하여 동남아 지역 국제 회선용으로 사용 중이다."
